database_vs_csv_comparison
Plant ID,Common Name (DB),Common Name (CSV),Match,Scientific Name (DB),Scientific Name (CSV),Match,Arabic Name (DB),Arabic Name (CSV),Match,Difficulty (DB),Difficulty (CSV),Match,Type (DB),Type (CSV),Match,Pet Safe (DB),Pet Safe (CSV),Match,Has Image (DB),Has Image (CSV),Match,Overall Status
african_lily,African lily,African lily,✓,Agapanthus,Agapanthus,✓,زنبق أفريقيا,زنبق أفريقيا,✓,intermediate,intermediate,✓,flowering,flowering,✓,yes,yes,✓,✓,✓,✓,✓ PERFECT
aglaonema,Chinese Evergreen,Chinese Evergreen,✓,Aglaonema commutatum,Aglaonema commutatum,✓,الخضرة الصينية,الخضرة الصينية,✓,beginner,beginner,✓,foliage,foliage,✓,no,no,✓,✓,✓,✓,✓ PERFECT
aglaonema_brilliant,Aglaonema Brilliant,Aglaonema Brilliant,✓,Aglaonema 'Brilliant',Aglaonema 'Brilliant',✓,أجلونيما بريليانت,أجلونيما بريليانت,✓,beginner,beginner,✓,foliage,foliage,✓,no,no,✓,✓,✓,✓,✓ PERFECT
aglaonema_pink_dalmatian,Aglaonema Pink Dalmatian,Aglaonema Pink Dalmatian,✓,Aglaonema 'Pink Dalmatian',Aglaonema 'Pink Dalmatian',✓,أجلونيما بينك دالماتيان,أجلونيما بينك دالماتيان,✓,beginner,beginner,✓,foliage,foliage,✓,no,no,✓,✓,✓,✓,✓ PERFECT
aglaonema_pink_valentine,Aglaonema 'Pink Valentine',Aglaonema 'Pink Valentine',✓,Aglaonema 'Pink Valentine',Aglaonema 'Pink Valentine',✓,أجلونيما فالنتاين الوردي,أجلونيما فالنتاين الوردي,✓,beginner,beginner,✓,foliage,foliage,✓,no,no,✓,✓,✓,✓,✓ PERFECT
aglaonema_snow_white,Aglaonema Snow White,Aglaonema Snow White,✓,Aglaonema 'Snow White',Aglaonema 'Snow White',✓,أجلونيما سنو وايت,أجلونيما سنو وايت,✓,beginner,beginner,✓,foliage,foliage,✓,no,no,✓,✓,✓,✓,✓ PERFECT
aglaonema_snowflake,Aglaonema 'Snowflake',Aglaonema 'Snowflake',✓,Aglaonema 'Snowflake',Aglaonema 'Snowflake',✓,أجلونيما ندفة الثلج,أجلونيما ندفة الثلج,✓,beginner,beginner,✓,foliage,foliage,✓,no,no,✓,✓,✓,✓,✓ PERFECT
aglaonema_super_red,Aglaonema Super Red,Aglaonema Super Red,✓,Aglaonema 'Super Red',Aglaonema 'Super Red',✓,أجلونيما سوبر ريد,أجلونيما سوبر ريد,✓,beginner,beginner,✓,foliage,foliage,✓,no,no,✓,✓,✓,✓,✓ PERFECT
aglaonema_super_white,Aglaonema Super White,Aglaonema Super White,✓,Aglaonema 'Super White',Aglaonema 'Super White',✓,أجلونيما سوبر وايت,أجلونيما سوبر وايت,✓,beginner,beginner,✓,foliage,foliage,✓,no,no,✓,✓,✓,✓,✓ PERFECT
alocasia_amazonica,Alocasia Amazonica,Alocasia Amazonica,✓,Alocasia × amazonica,Alocasia × amazonica,✓,ألوكاسيا أمازونيكا,ألوكاسيا أمازونيكا,✓,advanced,advanced,✓,tropical,tropical,✓,no,no,✓,✓,✓,✓,✓ PERFECT
