database_complete_detailed,,,,,,,,,,,,,,,,,,,,,
database_complete_detailed,,,,,,,,,,,,,,,,,,,,,
Plant ID,Common Name,Scientific Name,Genus,Family,Arabic Name,Difficulty,Type,Pet Safe,Watering (Full),Light Requirement,Light Description,Soil Type,Temperature Range,Humidity,Fertilizer,Plant Info (English),Plant Info (Arabic),Cairo Suitability,Summer Care,Winter Care,Image URL
african_lily,African lily,Agapanthus,Agapanthus,Amaryllidaceae,زنبق أفريقيا,intermediate,flowering,yes,weekly: Water when top 2 inches are dry,bright_direct,Needs bright light to flower,well_draining_potting,15-30°C (optimal: 22°C),medium,monthly,A beautiful perennial flowering plant characterized by magnificent blue or white flowers appearing in spherical clusters on long stems. Its long green leaves resemble ribbons. A medium-difficulty plant that needs strong light for good flowering.,نبات معمر مزهر جميل يتميز بأزهاره الزرقاء أو البيضاء الرائعة التي تظهر في مجموعات كروية على سيقان طويلة. أوراقه الخضراء الطويلة تشبه الشريط. نبات متوسط الصعوبة يحتاج ضوء قوي للإزهار الجيد.,good,Water regularly during hot Cairo summers. Protect from harsh afternoon sun.,Reduce watering in cooler months. Maintain in bright location.,
aglaonema,Chinese Evergreen,Aglaonema commutatum,Aglaonema,Araceae,الخضرة الصينية,beginner,foliage,no,weekly: Water moderately. Avoid direct sun which burns leaves.,low_light,Low light tolerant. Perfect for offices and dark corners.,well_draining,16-30°C (optimal: 23°C),medium,monthly_growing_season,Beautiful patterned foliage. Extremely tolerant of low light and neglect.,أوراق جميلة منقوشة. متسامح جداً مع الضوء المنخفض والإهمال.,excellent,Keep in shaded areas. AC rooms are perfect.,Reduce watering. Keep in warm rooms away from drafts.,
aglaonema_brilliant,Aglaonema Brilliant,Aglaonema 'Brilliant',Aglaonema,Araceae,أجلونيما بريليانت,beginner,foliage,no,weekly: Water when top 2 inches of soil are dry. Keep soil lightly moist.,low_to_medium,"Tolerates low light well, but grows better in medium indirect light",well_draining_potting,15-30°C (optimal: 22°C),medium,monthly,"Aglaonema Brilliant is a dazzling indoor plant with shiny leaves featuring bright gradient colors of pink, red, and green. Its name reflects the attractive luster of its foliage. A tropical air-purifying plant, easy to care for and suitable for beginners. Tolerates low light conditions and grows slowly. Perfect for adding sparkle and color to offices and homes.",أجلونيما بريليانت نبات داخلي مبهر بأوراقه اللامعة ذات الألوان الزاهية المتدرجة من الوردي والأحمر والأخضر. اسمه يعكس بريق أوراقه الجذاب. نبات استوائي ينقي الهواء، سهل العناية ومناسب للمبتدئين. يتحمل ظروف الإضاءة المنخفضة وينمو ببطء. مثالي لإضافة بريق ولون للمكاتب والمنازل.,good,Water regularly during hot Cairo summers. Protect from harsh afternoon sun.,Reduce watering in cooler months. Maintain in bright location.,
aglaonema_pink_dalmatian,Aglaonema Pink Dalmatian,Aglaonema 'Pink Dalmatian',Aglaonema,Araceae,أجلونيما بينك دالماتيان,beginner,foliage,no,weekly: Water when top 2 inches of soil are dry. Keep soil lightly moist.,low_to_medium,"Tolerates low light well, but grows better in medium indirect light",well_draining_potting,15-30°C (optimal: 22°C),medium,monthly,"Aglaonema Pink Dalmatian is a distinctive indoor plant with leaves spotted in pink and green, resembling the spots of a Dalmatian dog. An easy-care plant ideal for beginners, it purifies the air and tolerates low light. Belonging to the Araceae family from Southeast Asia, it is a slow-growing plant that adds a unique aesthetic touch to interior spaces.",نبات أجلونيما بينك دالماتيان من النباتات الداخلية المميزة بأوراقها المرقطة باللون الوردي والأخضر، تشبه نقاط الكلب الدلماسي. نبات سهل العناية ومثالي للمبتدئين، ينقي الهواء ويتحمل الإضاءة المنخفضة. ينتمي لعائلة القلقاسية من جنوب شرق آسيا، وهو نبات بطيء النمو يضفي لمسة جمالية فريدة على المساحات الداخلية.,good,Water regularly during hot Cairo summers. Protect from harsh afternoon sun.,Reduce watering in cooler months. Maintain in bright location.,
aglaonema_pink_valentine,Aglaonema Pink Valentine,Aglaonema 'Pink Valentine',Aglaonema,Araceae,أجلونيما فالنتاين الوردي,beginner,foliage,no,weekly: Water when top 2 inches are dry.,medium_indirect,Adapts to various light conditions,well_draining,10-35°C (optimal: 22°C),medium,monthly,"The Aglaonema 'Pink Valentine' is a show-stopping indoor plant known for her striking pink and green foliage. With her bold colors and minimal care needs, this plant is perfect for brightening up your home or office space. Renowned for her air-purifying abilities, the Pink Aglaonema is a favorite among both beginners and seasoned plant lovers. Place her in indirect light and enjoy her vibrant charm year-round.",أجلونيما فالنتاين الوردي نبات داخلي لافت للنظر يُعرف بأوراقه الوردية والخضراء الجذابة. بفضل ألوانها الجريئة واحتياجاتها البسيطة للعناية، يعد هذا النبات مثالياً لإضفاء البهجة على منزلك أو مكتبك. تشتهر بقدرتها على تنقية الهواء، مما يجعلها مفضلة للمبتدئين ومحبي النباتات على حد سواء. ضعها في ضوء غير مباشر واستمتع بسحرها النابض بالحياة طوال العام.,excellent,Increase watering frequency in Cairo's hot summer. Provide shade from direct afternoon sun.,Reduce watering in winter. Protect from cold drafts.,
aglaonema_snow_white,Aglaonema Snow White,Aglaonema 'Snow White',Aglaonema,Araceae,أجلونيما سنو وايت,beginner,foliage,no,weekly: Water when top 2 inches of soil are dry. Keep soil lightly moist.,low_to_medium,"Tolerates low light well, but grows better in medium indirect light",well_draining_potting,15-30°C (optimal: 22°C),medium,monthly,"Aglaonema Snow White is a wonderful indoor plant featuring green leaves with silvery-white spots resembling falling snow. One of the most beautiful Aglaonema types for interior decoration, it is very easy to care for and suitable for beginners. It purifies the air of toxins and tolerates low light conditions, making it ideal for offices and apartments. Its growth is slow and does not require frequent pruning.",أجلونيما سنو وايت نبات داخلي رائع يتميز بأوراقه الخضراء مع بقع بيضاء فضية تشبه الثلج المتساقط. من أجمل أنواع الأجلونيما للزينة الداخلية، سهل العناية جداً ومناسب للمبتدئين. ينقي الهواء من السموم ويتحمل ظروف الإضاءة المنخفضة، مما يجعله مثالياً للمكاتب والشقق. نموه بطيء ولا يحتاج تقليماً متكرراً.,good,Water regularly during hot Cairo summers. Protect from harsh afternoon sun.,Reduce watering in cooler months. Maintain in bright location.,
aglaonema_snowflake,Aglaonema Snowflake,Aglaonema 'Snowflake',Aglaonema,Araceae,أجلونيما ندفة الثلج,beginner,foliage,no,weekly: Water when top 2 inches are dry.,medium_indirect,Adapts to various light conditions,well_draining,10-35°C (optimal: 22°C),medium,monthly,Aglaonema 'Snowflake' - Aglaonema 'Snowflake'. Easy-care plant perfect for beginners. Forgiving and adaptable.,أجلونيما ندفة الثلج - Aglaonema 'Snowflake'. نبات زينة داخلي جميل يضيف لمسة طبيعية للمكان. يحتاج لعناية منتظمة ومناسب للبيئة المصرية.,excellent,Increase watering frequency in Cairo's hot summer. Provide shade from direct afternoon sun.,Reduce watering in winter. Protect from cold drafts.,
aglaonema_super_red,Aglaonema Super Red,Aglaonema 'Super Red',Aglaonema,Araceae,أجلونيما سوبر ريد,beginner,foliage,no,weekly: Water when top 2 inches of soil are dry. Keep soil lightly moist.,low_to_medium,"Tolerates low light well, but grows better in medium indirect light",well_draining_potting,15-30°C (optimal: 22°C),medium,monthly,"Aglaonema Super Red is one of the most magnificent indoor ornamental plants with its bright red and pink colors mixed with green. It adds a dramatic and lively touch to any interior space. An easy-care tropical plant, it purifies the air and tolerates low light. The red colors become more distinct with better lighting. Perfect for modern decor and offices.",أجلونيما سوبر ريد من أروع نباتات الزينة الداخلية بألوانه الحمراء والوردية الزاهية المختلطة بالأخضر. يضفي لمسة دراماتيكية وحيوية على أي مساحة داخلية. نبات استوائي سهل العناية، ينقي الهواء ويتحمل الإضاءة المنخفضة. الألوان الحمراء تكون أكثر وضوحاً مع إضاءة أفضل. مثالي للديكور الحديث والمكاتب.,good,Water regularly during hot Cairo summers. Protect from harsh afternoon sun.,Reduce watering in cooler months. Maintain in bright location.,
aglaonema_super_white,Aglaonema Super White,Aglaonema 'Super White',Aglaonema,Araceae,أجلونيما سوبر وايت,beginner,foliage,no,weekly: Water when top 2 inches of soil are dry. Keep soil lightly moist.,low_to_medium,"Tolerates low light well, but grows better in medium indirect light",well_draining_potting,15-30°C (optimal: 22°C),medium,monthly,"Aglaonema Super White is an elegant indoor plant with stunning silvery-white leaves with green touches. One of the most beautiful and luxurious types of Aglaonema, adding brightness and purity to interior spaces. An air-purifying plant, easy to care for, and perfect for beginners. Tolerates low light and thrives in indoor environments. Suitable for high-end homes and offices.",أجلونيما سوبر وايت نبات داخلي أنيق بأوراقه البيضاء الفضية المذهلة مع لمسات خضراء. من أكثر أنواع الأجلونيما جمالاً وفخامة، يضيف إشراقة ونقاءً للمساحات الداخلية. نبات منقي للهواء، سهل الرعاية، ومثالي للمبتدئين. يتحمل الإضاءة المنخفضة ويزدهر في البيئات الداخلية. مناسب للمنازل والمكاتب الراقية.,good,Water regularly during hot Cairo summers. Protect from harsh afternoon sun.,Reduce watering in cooler months. Maintain in bright location.,
alocasia_amazonica,Alocasia Amazonica,Alocasia × amazonica,Alocasia,Araceae,ألوكاسيا أمازونيكا,advanced,tropical,no,twice_weekly: Keep evenly moist during growing season. Reduce in winter dormancy.,bright_indirect,Bright indirect light essential for healthy growth. Shield from direct sun.,well_draining,18-29°C (optimal: 24°C),high,bi_weekly_growing_season,Classic Alocasia with bold dark green leaves and prominent white veins. Impressive tropical statement.,ألوكاسيا كلاسيكية بأوراق خضراء داكنة جريئة وعروق بيضاء بارزة. بيان استوائي مثير.,challenging,Increase humidity significantly in Cairo summers (35-40°C). Water more frequently.,May enter dormancy in Cairo winters (10-20°C). Reduce watering and maintain warmth.,
